athlete_id,full_name,birth_date,nationality,gender,is_active,profile_bio,photo_url,height_cm,weight_kg,extra_attributes,created_at
1,Cristiano Ronaldo,1985-02-05,Portuguese,M,TRUE,Seven-time Ballon d'Or winner,https://cdn.sportsimages.com/athletes/1.jpg,187.0,84.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""silver""}",2020-06-15
2,Lionel Messi,1987-06-24,Argentine,M,TRUE,World Cup 2022 champion,https://cdn.sportsimages.com/athletes/2.jpg,170.0,67.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""platinum""}",2022-02-18
3,LeBron James,1984-12-30,American,M,TRUE,Four-time NBA champion,https://cdn.sportsimages.com/athletes/3.jpg,206.7,113.4,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""gold""}",2022-02-05
4,Stephen Curry,1988-03-14,American,M,TRUE,"Four-time NBA champion, all-time 3PT leader",https://cdn.sportsimages.com/athletes/4.jpg,190.5,83.9,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""silver""}",2020-10-16
5,Tiger Woods,1975-12-30,American,M,FALSE,15-time major champion,https://cdn.sportsimages.com/athletes/5.jpg,185.4,83.9,"{""sport_id"": 5, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""platinum""}",2020-11-27
6,Roger Federer,1981-08-08,Swiss,M,FALSE,"20-time Grand Slam champion, retired 2022",https://cdn.sportsimages.com/athletes/6.jpg,185.0,85.0,"{""sport_id"": 4, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""platinum""}",2020-05-20
7,Novak Djokovic,1987-05-22,Serbian,M,TRUE,24-time Grand Slam champion,https://cdn.sportsimages.com/athletes/7.jpg,188.0,77.0,"{""sport_id"": 4, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""platinum""}",2020-07-24
8,Rafael Nadal,1986-06-03,Spanish,M,FALSE,"22-time Grand Slam champion, retired 2024",https://cdn.sportsimages.com/athletes/8.jpg,185.0,85.0,"{""sport_id"": 4, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""gold""}",2022-04-20
9,Serena Williams,1981-09-26,American,F,FALSE,"23-time Grand Slam champion, retired 2022",https://cdn.sportsimages.com/athletes/9.jpg,175.3,70.3,"{""sport_id"": 4, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""platinum""}",2021-05-19
10,Naomi Osaka,1997-10-16,Japanese,F,TRUE,Four-time Grand Slam champion,https://cdn.sportsimages.com/athletes/10.jpg,180.3,69.0,"{""sport_id"": 4, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""platinum""}",2021-12-09
11,Coco Gauff,2004-03-13,American,F,TRUE,2023 US Open champion,https://cdn.sportsimages.com/athletes/11.jpg,175.3,66.0,"{""sport_id"": 4, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""silver""}",2021-11-14
12,Neymar Jr,1992-02-05,Brazilian,M,TRUE,"Brazilian superstar, PSG record signing",https://cdn.sportsimages.com/athletes/12.jpg,175.0,68.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""platinum""}",2020-12-17
13,Kylian Mbappe,1998-12-20,French,M,TRUE,"2018 World Cup winner, Real Madrid star",https://cdn.sportsimages.com/athletes/13.jpg,178.0,73.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""silver""}",2021-09-21
14,Canelo Alvarez,1990-07-18,Mexican,M,TRUE,Undisputed super middleweight champion,https://cdn.sportsimages.com/athletes/14.jpg,173.0,76.0,"{""sport_id"": 7, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""gold""}",2022-02-11
15,Conor McGregor,1988-07-14,Irish,M,TRUE,Former UFC dual-weight champion,https://cdn.sportsimages.com/athletes/15.jpg,175.3,70.3,"{""sport_id"": 8, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""platinum""}",2020-04-16
16,Lewis Hamilton,1985-01-07,British,M,TRUE,Seven-time F1 World Champion,https://cdn.sportsimages.com/athletes/16.jpg,174.0,67.0,"{""sport_id"": 6, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""silver""}",2021-07-19
17,Max Verstappen,1997-09-30,Dutch,M,TRUE,Four-time consecutive F1 World Champion,https://cdn.sportsimages.com/athletes/17.jpg,180.0,67.0,"{""sport_id"": 6, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""gold""}",2021-02-19
