earning_id,athlete_id,year,on_field_earnings,off_field_earnings,total_earnings,forbes_rank,currency
1,1,2022,123943756.1,53360089.99,177303846.09,1,USD
2,1,2023,128215744.76,56889413.01,185105157.77,1,USD
3,1,2024,109116570.86,49197433.76,158314004.62,2,USD
4,2,2022,96003578.12,42348890.07,138352468.19,2,USD
5,2,2023,90539979.48,45824123.42,136364102.9,2,USD
6,2,2024,109412060.8,44350084.37,153762145.17,1,USD
7,3,2022,52258741.63,47834375.93,100093117.56,3,USD
8,3,2023,52028170.29,52371368.45,104399538.74,4,USD
9,3,2024,53512489.88,49485749.12,102998239.0,5,USD
10,4,2022,43828561.92,38348817.44,82177379.36,92,USD
11,4,2023,40114171.49,36228389.28,76342560.77,28,USD
12,4,2024,39070676.13,35470395.21,74541071.34,49,USD
13,5,2022,48265918.01,34304602.86,82570520.87,69,USD
14,5,2023,45276851.48,36114447.73,81391299.21,44,USD
15,5,2024,42857391.14,34684114.1,77541505.24,20,USD
16,6,2022,45962443.25,37443585.68,83406028.93,13,USD
17,6,2023,37676437.97,40071514.73,77747952.7,83,USD
18,6,2024,44063446.21,33166617.82,77230064.03,96,USD
19,7,2022,53561064.82,25514768.81,79075833.63,9,USD
20,7,2023,49925061.88,26972127.56,76897189.44,10,USD
21,7,2024,46338769.51,29999480.48,76338249.99,8,USD
22,8,2022,43434551.1,34220855.82,77655406.92,62,USD
23,8,2023,36172437.25,35598797.46,71771234.71,30,USD
24,8,2024,36132402.84,35760882.54,71893285.38,46,USD
25,9,2022,48384680.14,19973777.83,68358457.97,21,USD
26,9,2023,42380303.89,21235492.75,63615796.64,61,USD
27,9,2024,49790389.2,23444129.04,73234518.24,10,USD
28,10,2022,43565685.65,24635878.64,68201564.29,56,USD
29,10,2023,46375428.6,26269888.24,72645316.84,66,USD
30,10,2024,48218609.9,24719839.9,72938449.8,80,USD
31,11,2022,32235810.0,18583877.26,50819687.26,13,USD
32,11,2023,33036894.42,19046766.96,52083661.38,40,USD
33,11,2024,30751126.98,17935317.77,48686444.75,11,USD
34,12,2022,47706118.11,13853068.98,61559187.09,69,USD
35,12,2023,47142507.16,13174302.83,60316809.99,29,USD
36,12,2024,41547284.39,13350619.23,54897903.62,75,USD
37,13,2022,67858320.1,36416153.55,104274473.65,4,USD
38,13,2023,67332102.97,34016998.95,101349101.92,3,USD
39,13,2024,61884825.14,37347447.57,99232272.71,3,USD
40,14,2022,41272924.19,14863935.19,56136859.38,6,USD
41,14,2023,52427327.07,13643850.63,66071177.7,5,USD
42,14,2024,51479149.1,13438898.42,64918047.52,6,USD
43,15,2022,27615818.62,32289546.95,59905365.57,94,USD
44,15,2023,24999021.2,29547894.46,54546915.66,78,USD
45,15,2024,24959156.66,30716466.58,55675623.24,79,USD
46,16,2022,40343071.49,41638067.13,81981138.62,40,USD
47,16,2023,37098529.07,35961411.32,73059940.39,62,USD
48,16,2024,31344388.93,39844620.49,71189009.42,100,USD
49,17,2022,60081198.8,22690539.15,82771737.95,10,USD
50,17,2023,54792776.22,19945375.32,74738151.54,9,USD
51,17,2024,59710350.31,19834507.57,79544857.88,9,USD
52,18,2022,47491237.03,21337227.53,68828464.56,22,USD
53,18,2023,54380708.63,19787899.36,74168607.99,28,USD
54,18,2024,52503325.19,20577723.25,73081048.44,29,USD
55,19,2022,25324271.89,34270259.57,59594531.46,60,USD
56,19,2023,28469530.47,35798770.16,64268300.63,96,USD
57,19,2024,30181914.34,32643123.39,62825037.73,50,USD
58,20,2022,43645590.95,36923587.69,80569178.64,89,USD
59,20,2023,38132509.28,37583866.68,75716375.96,46,USD
60,20,2024,50340745.23,38430633.34,88771378.57,65,USD
61,21,2022,36681107.84,18592852.35,55273960.19,31,USD
62,21,2023,36578551.74,21837823.64,58416375.38,15,USD
63,21,2024,32745515.23,18413459.14,51158974.37,55,USD
64,22,2022,22707164.73,8015712.51,30722877.24,33,USD
65,22,2023,20269526.08,7245206.3,27514732.38,58,USD
66,22,2024,23304752.64,7501316.29,30806068.93,84,USD
67,23,2022,16543991.22,13527000.71,30070991.93,11,USD
68,23,2023,19999988.07,14124157.69,34124145.76,46,USD
69,23,2024,18814118.98,13250075.84,32064194.82,66,USD
70,24,2022,73121117.66,65004774.48,138125892.14,5,USD
71,24,2023,82251880.91,58992361.6,141244242.51,6,USD
72,24,2024,73190385.66,65449219.26,138639604.92,4,USD
73,25,2022,30925432.2,6931854.64,37857286.84,47,USD
74,25,2023,36806412.92,6840938.87,43647351.79,94,USD
75,25,2024,31064359.07,6431311.48,37495670.55,97,USD
76,26,2022,34331536.28,25672029.69,60003565.97,46,USD
77,26,2023,33094741.17,23151144.75,56245885.92,55,USD
78,26,2024,27989540.55,22955434.85,50944975.4,42,USD
79,27,2022,29918931.65,20732571.96,50651503.61,90,USD
80,27,2023,25104359.03,19913578.31,45017937.34,15,USD
81,27,2024,26918496.15,19188741.76,46107237.91,84,USD
82,28,2022,25037293.67,7363870.64,32401164.31,63,USD
83,28,2023,20127526.79,7067041.74,27194568.53,79,USD
84,28,2024,24815432.61,7423582.04,32239014.65,74,USD
85,29,2022,30844076.9,23012726.2,53856803.1,71,USD
86,29,2023,37934663.43,20724076.17,58658739.6,53,USD
87,29,2024,36306260.68,21472584.12,57778844.8,19,USD
88,30,2022,19739926.88,25421042.9,45160969.78,60,USD
89,30,2023,20312483.13,25812127.92,46124611.05,56,USD
90,30,2024,15625496.77,23817003.91,39442500.68,43,USD
91,31,2022,27065583.43,14581574.1,41647157.53,84,USD
92,31,2023,24813030.38,14486310.91,39299341.29,57,USD
93,31,2024,22708099.81,13345326.14,36053425.95,13,USD
94,32,2022,25977616.59,24388769.44,50366386.03,92,USD
95,32,2023,23801768.94,25409039.56,49210808.5,99,USD
96,32,2024,25765478.38,23425708.5,49191186.88,27,USD
97,33,2022,18273541.76,5303223.15,23576764.91,40,USD
98,33,2023,17754968.96,5325675.75,23080644.71,68,USD
99,33,2024,15291392.74,6260512.99,21551905.73,99,USD
100,34,2022,36384773.54,12457863.19,48842636.73,63,USD
101,34,2023,35495942.86,14275666.95,49771609.81,88,USD
102,34,2024,32984483.26,14591035.6,47575518.86,14,USD
103,35,2022,28327692.37,8852167.44,37179859.81,56,USD
104,35,2023,25343362.55,9692444.73,35035807.28,79,USD
105,35,2024,32276945.0,9616086.4,41893031.4,17,USD
106,36,2022,49586304.01,29512952.67,79099256.68,7,USD
107,36,2023,55165848.4,28490576.64,83656425.04,8,USD
108,36,2024,58303057.31,28128439.4,86431496.71,10,USD
109,37,2022,14240348.84,19184531.44,33424880.28,82,USD
110,37,2023,14062797.83,22103705.21,36166503.04,80,USD
111,37,2024,14071831.02,19557891.4,33629722.42,39,USD
112,38,2022,24163170.52,7160484.38,31323654.9,28,USD
113,38,2023,24726154.46,8015034.89,32741189.35,32,USD
114,38,2024,19046885.08,8533815.16,27580700.24,26,USD
115,39,2022,14094532.24,20066593.38,34161125.62,32,USD
116,39,2023,14220440.04,19247031.72,33467471.76,63,USD
117,39,2024,15416917.25,21821645.76,37238563.01,70,USD
118,40,2022,24638930.29,12123281.26,36762211.55,38,USD
119,40,2023,27167887.44,11122865.9,38290753.34,94,USD
120,40,2024,24119731.04,12138061.03,36257792.07,13,USD
121,41,2022,15737880.77,15122285.05,30860165.82,72,USD
122,41,2023,17249830.45,14415070.06,31664900.51,20,USD
123,41,2024,15351090.61,13554205.1,28905295.71,26,USD
124,42,2022,20797716.7,17044035.82,37841752.52,86,USD
125,42,2023,20688247.47,17498043.14,38186290.61,87,USD
126,42,2024,20071039.14,18696839.84,38767878.98,24,USD
127,43,2022,34642403.81,18814166.74,53456570.55,37,USD
128,43,2023,31383354.41,19416883.97,50800238.38,62,USD
129,43,2024,30506899.36,17850758.84,48357658.2,63,USD
130,44,2022,27927895.34,10699421.64,38627316.98,29,USD
131,44,2023,31250786.6,11193064.77,42443851.37,21,USD
132,44,2024,32537613.17,10335656.06,42873269.23,22,USD
133,45,2022,26574827.21,11357031.34,37931858.55,81,USD
134,45,2023,30444927.19,12876370.09,43321297.28,62,USD
135,45,2024,28578915.21,12864732.21,41443647.42,64,USD
136,46,2022,36909315.81,19811230.74,56720546.55,55,USD
137,46,2023,28513378.1,19450005.71,47963383.81,29,USD
138,46,2024,33883525.67,18350113.72,52233639.39,23,USD
139,47,2022,19460259.55,15411178.3,34871437.85,38,USD
140,47,2023,24030151.06,17238456.28,41268607.34,89,USD
141,47,2024,22751941.22,16585523.16,39337464.38,13,USD
142,48,2022,28757456.47,16446100.51,45203556.98,44,USD
143,48,2023,28832697.92,17462985.9,46295683.82,53,USD
144,48,2024,25965147.83,16999704.63,42964852.46,28,USD
145,49,2022,23497974.21,13362351.92,36860326.13,13,USD
146,49,2023,23102154.05,13095037.51,36197191.56,58,USD
147,49,2024,25693264.82,12601517.26,38294782.08,57,USD
148,50,2022,24044435.09,11708735.0,35753170.09,8,USD
149,50,2023,23674569.72,10696341.8,34370911.52,7,USD
150,50,2024,22853459.22,10453222.95,33306682.17,7,USD
