stat_id,athlete_id,season_year,sport_id,games_played,wins,losses,score_metric,mvp_awards,championship_wins,injury_days,notes
1,1,2020,3,10,10,0,33.0,1,1,11,"Batting avg: 33.0, Runs: 1671, Centuries: 12"
2,1,2022,3,35,23,12,37.0,0,0,29,"Batting avg: 37.0, Runs: 484, Centuries: 9"
3,1,2024,3,45,34,11,50.4,1,1,7,"Batting avg: 50.4, Runs: 1541, Centuries: 6"
4,2,2023,3,10,13,-3,36.1,2,0,17,"Batting avg: 36.1, Runs: 448, Centuries: 9"
5,2,2024,3,31,35,-4,34.1,2,1,28,"Batting avg: 34.1, Runs: 1401, Centuries: 8"
6,2,2022,3,38,35,3,43.2,1,0,24,"Batting avg: 43.2, Runs: 995, Centuries: 14"
7,3,2023,2,17,13,4,32.4,2,0,21,"Batting avg: 32.4, Runs: 1736, Centuries: 7"
8,3,2020,2,30,18,12,63.4,2,0,22,"Batting avg: 63.4, Runs: 839, Centuries: 7"
9,3,2021,2,28,7,21,44.0,2,1,2,"Batting avg: 44.0, Runs: 1435, Centuries: 5"
10,4,2023,2,23,33,-10,50.1,0,0,15,"Batting avg: 50.1, Runs: 1809, Centuries: 6"
11,4,2022,2,25,28,-3,38.5,1,0,7,"Batting avg: 38.5, Runs: 715, Centuries: 7"
12,4,2021,2,49,16,33,35.5,0,0,29,"Batting avg: 35.5, Runs: 460, Centuries: 15"
13,5,2024,5,12,32,-20,46.9,2,1,15,"Batting avg: 46.9, Runs: 1476, Centuries: 8"
14,5,2020,5,41,10,31,64.5,2,1,12,"Batting avg: 64.5, Runs: 754, Centuries: 4"
15,5,2022,5,13,21,-8,58.0,1,0,16,"Batting avg: 58.0, Runs: 1011, Centuries: 12"
16,6,2021,4,43,19,24,41.0,0,0,21,"Batting avg: 41.0, Runs: 731, Centuries: 12"
17,6,2023,4,47,8,39,41.4,2,1,5,"Batting avg: 41.4, Runs: 1423, Centuries: 8"
18,6,2020,4,25,13,12,46.5,2,1,11,"Batting avg: 46.5, Runs: 676, Centuries: 15"
19,7,2023,4,33,16,17,59.9,1,1,5,"Batting avg: 59.9, Runs: 1470, Centuries: 4"
20,7,2021,4,46,26,20,38.0,0,1,25,"Batting avg: 38.0, Runs: 782, Centuries: 13"
21,7,2024,4,34,11,23,35.1,2,0,15,"Batting avg: 35.1, Runs: 1950, Centuries: 0"
22,8,2021,4,18,33,-15,59.7,2,1,25,"Batting avg: 59.7, Runs: 1296, Centuries: 9"
23,8,2023,4,26,22,4,60.0,0,1,3,"Batting avg: 60.0, Runs: 1714, Centuries: 5"
24,8,2024,4,13,11,2,58.5,1,0,14,"Batting avg: 58.5, Runs: 1824, Centuries: 10"
25,9,2022,4,45,22,23,62.6,1,1,0,"Batting avg: 62.6, Runs: 1143, Centuries: 3"
26,9,2024,4,32,32,0,53.8,2,0,18,"Batting avg: 53.8, Runs: 1479, Centuries: 5"
27,9,2021,4,28,16,12,41.4,2,1,24,"Batting avg: 41.4, Runs: 1808, Centuries: 14"
28,10,2020,4,28,19,9,52.1,0,0,20,"Batting avg: 52.1, Runs: 1954, Centuries: 10"
29,10,2023,4,36,25,11,51.4,1,0,2,"Batting avg: 51.4, Runs: 631, Centuries: 10"
30,10,2022,4,24,15,9,41.1,1,1,19,"Batting avg: 41.1, Runs: 1620, Centuries: 12"
31,11,2022,4,47,21,26,63.8,1,0,5,"Batting avg: 63.8, Runs: 347, Centuries: 4"
32,11,2023,4,25,26,-1,38.8,2,0,6,"Batting avg: 38.8, Runs: 641, Centuries: 12"
33,11,2021,4,16,8,8,32.2,1,0,0,"Batting avg: 32.2, Runs: 1878, Centuries: 12"
34,12,2024,3,26,24,2,35.4,2,1,9,"Batting avg: 35.4, Runs: 769, Centuries: 7"
35,12,2020,3,28,19,9,51.9,0,0,0,"Batting avg: 51.9, Runs: 371, Centuries: 11"
36,12,2023,3,30,32,-2,46.7,2,1,17,"Batting avg: 46.7, Runs: 1211, Centuries: 4"
37,13,2024,3,48,19,29,52.1,2,1,16,"Batting avg: 52.1, Runs: 1610, Centuries: 9"
38,13,2021,3,32,20,12,48.9,0,1,9,"Batting avg: 48.9, Runs: 1049, Centuries: 13"
39,13,2022,3,26,9,17,40.6,0,0,11,"Batting avg: 40.6, Runs: 887, Centuries: 15"
40,14,2024,7,41,35,6,56.4,1,0,24,"Batting avg: 56.4, Runs: 1181, Centuries: 9"
41,14,2020,7,48,12,36,57.9,2,1,6,"Batting avg: 57.9, Runs: 1143, Centuries: 13"
42,14,2022,7,35,12,23,35.7,2,1,26,"Batting avg: 35.7, Runs: 1074, Centuries: 7"
