social_id,athlete_id,platform,followers_count,avg_engagement_rate,posts_per_month,verified,joined_date,estimated_post_value_usd
1,1,TikTok,643246931,3.813,5,TRUE,2010-05-28,3500000
2,2,YouTube,505807200,5.474,6,TRUE,2015-12-14,3000000
3,3,Twitter/X,161718586,3.022,22,TRUE,2011-06-14,2000000
4,4,Facebook,63858104,3.36,8,TRUE,2010-11-21,528679
5,5,YouTube,38265989,2.009,21,TRUE,2020-05-11,709794
6,6,Instagram,34875109,2.473,22,TRUE,2020-03-28,1041448
7,7,YouTube,62869025,3.354,24,TRUE,2012-05-06,1415937
8,8,Facebook,63967101,4.399,8,TRUE,2011-07-12,708314
9,9,YouTube,70643036,4.834,3,TRUE,2019-04-01,1427299
10,10,Facebook,50696566,4.721,8,TRUE,2013-05-23,984887
11,11,Instagram,73825994,3.854,14,TRUE,2014-03-03,1129557
12,12,Twitter/X,96134053,2.352,17,TRUE,2018-07-25,1253489
13,13,YouTube,35906458,2.673,18,TRUE,2013-05-10,713013
14,14,YouTube,37475058,3.294,12,TRUE,2019-04-27,716642
15,15,Twitter/X,76147435,2.541,11,TRUE,2012-01-10,1330958
16,16,Twitter/X,20132266,3.768,17,TRUE,2019-11-21,293796
17,17,Instagram,5346289,2.672,25,TRUE,2016-11-07,269473
18,18,YouTube,19203287,3.34,4,TRUE,2011-02-18,234336
19,19,Instagram,16169013,3.828,22,TRUE,2015-10-22,346904
20,20,Instagram,5179884,2.134,24,TRUE,2016-05-13,424879
21,21,TikTok,9437179,3.92,11,TRUE,2010-10-06,393370
22,22,Twitter/X,21902935,2.732,13,TRUE,2017-03-03,277826
23,23,Facebook,19526708,1.854,18,TRUE,2015-01-05,161258
24,24,TikTok,17099466,3.816,11,TRUE,2014-10-27,248334
25,25,Facebook,15502883,2.589,7,TRUE,2015-12-16,186499
26,26,Facebook,19763601,1.633,4,TRUE,2010-04-06,177920
27,27,YouTube,13731667,1.909,4,TRUE,2016-02-16,344912
28,28,YouTube,16962829,3.972,6,TRUE,2017-08-16,394049
29,29,Twitter/X,9149147,2.374,8,TRUE,2014-03-27,206815
30,30,Facebook,14153365,2.908,3,TRUE,2019-04-19,447675
31,31,Facebook,24152460,1.951,6,TRUE,2013-08-22,140283
32,32,TikTok,5871145,2.211,21,TRUE,2011-07-12,456851
33,33,Instagram,15856145,1.884,18,TRUE,2017-12-22,142500
34,34,YouTube,14036827,2.986,22,TRUE,2015-01-21,103043
35,35,YouTube,15902353,3.869,4,TRUE,2019-03-07,484994
36,36,TikTok,15843814,3.495,15,TRUE,2011-09-20,489965
37,37,Instagram,18383470,2.138,9,TRUE,2016-02-01,225871
38,38,Twitter/X,18035994,3.449,6,TRUE,2020-11-05,249388
39,39,TikTok,21470028,3.503,7,TRUE,2014-11-20,485817
